datetime,symbol,open,high,low,close,RSI
2023-09-15 20:00:00,OANDA:CADJPY,109.342,109.342,109.274,109.32,48.22678402556369
2023-09-15 20:30:00,OANDA:CADJPY,109.32,109.378,109.29,109.376,52.43337736396166
2023-09-15 21:00:00,OANDA:CADJPY,109.376,109.4,109.338,109.352,50.53818656425854
2023-09-15 21:30:00,OANDA:CADJPY,109.352,109.364,109.311,109.316,47.750166229318424
2023-09-15 22:00:00,OANDA:CADJPY,109.316,109.352,109.292,109.329,48.84757405526669
2023-09-15 22:30:00,OANDA:CADJPY,109.329,109.348,109.251,109.262,43.74775208099416
2023-09-17 23:00:00,OANDA:CADJPY,109.262,109.262,109.218,109.24,42.19015301562053
2023-09-17 23:30:00,OANDA:CADJPY,109.24,109.267,109.24,109.264,44.51117220102867
2023-09-18 00:00:00,OANDA:CADJPY,109.264,109.314,109.261,109.3,47.89078819730818
2023-09-18 00:30:00,OANDA:CADJPY,109.3,109.307,109.276,109.296,47.54428891700499
2023-09-18 01:00:00,OANDA:CADJPY,109.296,109.328,109.293,109.318,49.699881750073395
2023-09-18 01:30:00,OANDA:CADJPY,109.318,109.358,109.293,109.349,52.65241937707826
2023-09-18 02:00:00,OANDA:CADJPY,109.349,109.364,109.304,109.32,49.71264312874951
2023-09-18 02:30:00,OANDA:CADJPY,109.32,109.342,109.259,109.266,44.70708256483364
2023-09-18 03:00:00,OANDA:CADJPY,109.266,109.334,109.266,109.311,49.28942788129488
2023-09-18 03:30:00,OANDA:CADJPY,109.311,109.322,109.213,109.266,45.250839150937274
2023-09-18 04:00:00,OANDA:CADJPY,109.266,109.296,109.246,109.282,46.91628052520617
2023-09-18 04:30:00,OANDA:CADJPY,109.282,109.312,109.268,109.272,45.97495911890114
2023-09-18 05:00:00,OANDA:CADJPY,109.272,109.296,109.253,109.284,47.34035386187915
2023-09-18 05:30:00,OANDA:CADJPY,109.284,109.296,109.275,109.291,48.16335695660337
2023-09-18 06:00:00,OANDA:CADJPY,109.291,109.302,109.275,109.302,49.49903724858632
2023-09-18 06:30:00,OANDA:CADJPY,109.302,109.322,109.296,109.299,49.127244166282296
2023-09-18 07:00:00,OANDA:CADJPY,109.299,109.32,109.276,109.288,47.71213635068762
2023-09-18 07:30:00,OANDA:CADJPY,109.288,109.324,109.287,109.3,49.4236785440395
2023-09-18 08:00:00,OANDA:CADJPY,109.3,109.34,109.262,109.291,48.15065950596896
2023-09-18 08:30:00,OANDA:CADJPY,109.291,109.33,109.242,109.33,53.714235844078395
2023-09-18 09:00:00,OANDA:CADJPY,109.33,109.411,109.31,109.35,56.30367550003465
2023-09-18 09:30:00,OANDA:CADJPY,109.35,109.396,109.284,109.351,56.43491109634531
2023-09-18 10:00:00,OANDA:CADJPY,109.351,109.352,109.268,109.272,44.94956663930155
2023-09-18 10:30:00,OANDA:CADJPY,109.272,109.322,109.262,109.27,44.70153549974578
2023-09-18 11:00:00,OANDA:CADJPY,109.27,109.334,109.268,109.322,52.10195765270438
2023-09-18 11:30:00,OANDA:CADJPY,109.322,109.328,109.27,109.28,46.66937842008386
2023-09-18 12:00:00,OANDA:CADJPY,109.28,109.344,109.266,109.334,53.39745349455859
2023-09-18 12:30:00,OANDA:CADJPY,109.334,109.355,109.3,109.34,54.09049456404271
2023-09-18 13:00:00,OANDA:CADJPY,109.34,109.346,109.265,109.285,47.166188891754096
2023-09-18 13:30:00,OANDA:CADJPY,109.285,109.292,109.194,109.276,46.125640710968725
2023-09-18 14:00:00,OANDA:CADJPY,109.276,109.386,109.274,109.352,55.128108073515136
2023-09-18 14:30:00,OANDA:CADJPY,109.352,109.433,109.346,109.428,61.971525412730266
2023-09-18 15:00:00,OANDA:CADJPY,109.428,109.644,109.419,109.531,68.8951703476681
2023-09-18 15:30:00,OANDA:CADJPY,109.531,109.569,109.304,109.37,52.73351223959466
2023-09-18 16:00:00,OANDA:CADJPY,109.37,109.478,109.294,109.465,58.86530945711738
2023-09-18 16:30:00,OANDA:CADJPY,109.465,109.608,109.431,109.456,58.09637892927219
2023-09-18 17:00:00,OANDA:CADJPY,109.456,109.485,109.414,109.453,57.8252296422386
2023-09-18 17:30:00,OANDA:CADJPY,109.453,109.512,109.407,109.49,60.28705184464472
2023-09-18 18:00:00,OANDA:CADJPY,109.49,109.55,109.48,109.524,62.455797950758
2023-09-18 18:30:00,OANDA:CADJPY,109.524,109.558,109.5,109.516,61.60333297114454
2023-09-18 19:00:00,OANDA:CADJPY,109.516,109.547,109.501,109.528,62.431659814261685
2023-09-18 19:30:00,OANDA:CADJPY,109.528,109.572,109.446,109.45,54.24075344588978
2023-09-18 20:00:00,OANDA:CADJPY,109.45,109.514,109.433,109.507,58.52324743772975
2023-09-18 20:30:00,OANDA:CADJPY,109.507,109.518,109.462,109.492,57.011153364358535
2023-09-18 21:00:00,OANDA:CADJPY,109.492,109.494,109.402,109.442,52.172184331073126
2023-09-18 21:30:00,OANDA:CADJPY,109.442,109.442,109.394,109.412,49.45962190550483
2023-09-18 22:00:00,OANDA:CADJPY,109.412,109.45,109.407,109.42,50.20314768147833
2023-09-18 22:30:00,OANDA:CADJPY,109.42,109.481,109.4,109.461,53.94281911697153
2023-09-18 23:00:00,OANDA:CADJPY,109.461,109.476,109.416,109.425,50.36618942676098
2023-09-18 23:30:00,OANDA:CADJPY,109.425,109.438,109.41,109.434,51.23666862583904
2023-09-19 00:00:00,OANDA:CADJPY,109.434,109.443,109.385,109.42,49.774302327448474
2023-09-19 00:30:00,OANDA:CADJPY,109.42,109.454,109.418,109.442,52.08846914170718
2023-09-19 01:00:00,OANDA:CADJPY,109.442,109.47,109.42,109.47,54.934458741368466
2023-09-19 01:30:00,OANDA:CADJPY,109.47,109.476,109.424,109.45,52.53402044113163
2023-09-19 02:00:00,OANDA:CADJPY,109.45,109.55,109.414,109.54,60.828877585069364
2023-09-19 02:30:00,OANDA:CADJPY,109.54,109.582,109.499,109.511,57.35105029811628
2023-09-19 03:00:00,OANDA:CADJPY,109.511,109.63,109.506,109.582,62.937970174891944
2023-09-19 03:30:00,OANDA:CADJPY,109.582,109.586,109.508,109.512,55.25296653402819
2023-09-19 04:00:00,OANDA:CADJPY,109.512,109.561,109.499,109.556,58.66917772320068
2023-09-19 04:30:00,OANDA:CADJPY,109.556,109.607,109.55,109.605,62.13602531689546
2023-09-19 05:00:00,OANDA:CADJPY,109.605,109.64,109.6,109.624,63.41740381407858
2023-09-19 05:30:00,OANDA:CADJPY,109.624,109.646,109.62,109.635,64.17333349760608
2023-09-19 06:00:00,OANDA:CADJPY,109.635,109.654,109.626,109.634,64.04377205425273
2023-09-19 06:30:00,OANDA:CADJPY,109.634,109.648,109.618,109.63,63.49159029261828
2023-09-19 07:00:00,OANDA:CADJPY,109.63,109.636,109.595,109.606,60.14107009811556
2023-09-19 07:30:00,OANDA:CADJPY,109.606,109.658,109.6,109.65,63.902078856705195
2023-09-19 08:00:00,OANDA:CADJPY,109.65,109.717,109.642,109.685,66.60170173494897
2023-09-19 08:30:00,OANDA:CADJPY,109.685,109.751,109.683,109.703,67.93003937452116
2023-09-19 09:00:00,OANDA:CADJPY,109.703,109.786,109.694,109.766,72.1109475290511
2023-09-19 09:30:00,OANDA:CADJPY,109.766,109.77,109.703,109.708,63.8571491844114
2023-09-19 10:00:00,OANDA:CADJPY,109.708,109.858,109.686,109.852,72.32628799077057
2023-09-19 10:30:00,OANDA:CADJPY,109.852,109.862,109.782,109.81,67.36789117280749
2023-09-19 11:00:00,OANDA:CADJPY,109.81,109.84,109.734,109.825,68.20621909794937
2023-09-19 11:30:00,OANDA:CADJPY,109.825,109.842,109.794,109.83,68.4967468501642
2023-09-19 12:00:00,OANDA:CADJPY,109.83,109.896,109.828,109.86,70.25314296168011
2023-09-19 12:30:00,OANDA:CADJPY,109.86,109.883,109.816,109.858,69.97305700372532
2023-09-19 13:00:00,OANDA:CADJPY,109.858,109.934,109.844,109.93,73.99286471305197
2023-09-19 13:30:00,OANDA:CADJPY,109.93,110.031,109.918,110.018,77.88902573655096
2023-09-19 14:00:00,OANDA:CADJPY,110.018,110.178,110.017,110.141,81.95762723401586
2023-09-19 14:30:00,OANDA:CADJPY,110.141,110.39,110.114,110.29,85.45029517988591
2023-09-19 15:00:00,OANDA:CADJPY,110.29,110.445,110.251,110.34,86.4016003706229
2023-09-19 15:30:00,OANDA:CADJPY,110.34,110.356,110.171,110.217,73.64515546602395
2023-09-19 16:00:00,OANDA:CADJPY,110.217,110.328,110.176,110.18,70.28357869773164
2023-09-19 16:30:00,OANDA:CADJPY,110.18,110.202,110.108,110.109,64.22533758217655
2023-09-19 17:00:00,OANDA:CADJPY,110.109,110.128,110.01,110.036,58.62958266639472
2023-09-19 17:30:00,OANDA:CADJPY,110.036,110.096,110.008,110.035,58.55432113296512
2023-09-19 18:00:00,OANDA:CADJPY,110.035,110.035,109.952,109.984,54.697922245758626
2023-09-19 18:30:00,OANDA:CADJPY,109.984,109.986,109.934,109.953,52.437242490270854
2023-09-19 19:00:00,OANDA:CADJPY,109.953,109.992,109.924,109.986,54.58887172958249
2023-09-19 19:30:00,OANDA:CADJPY,109.986,110.012,109.955,109.97,53.32920333161175
2023-09-19 20:00:00,OANDA:CADJPY,109.97,110.01,109.968,109.991,54.80335546312209
2023-09-19 20:30:00,OANDA:CADJPY,109.991,110.044,109.957,109.973,53.25075137886687
2023-09-19 21:00:00,OANDA:CADJPY,109.973,110.007,109.964,110.0,55.29658457834484
2023-09-19 21:30:00,OANDA:CADJPY,110.0,110.006,109.979,109.988,54.162113688136166
2023-09-19 22:00:00,OANDA:CADJPY,109.988,109.988,109.94,109.982,53.57031508272836
2023-09-19 22:30:00,OANDA:CADJPY,109.982,109.992,109.95,109.968,52.138784264576515
2023-09-19 23:00:00,OANDA:CADJPY,109.968,109.993,109.94,109.96,51.29525466581644
2023-09-19 23:30:00,OANDA:CADJPY,109.96,109.97,109.857,109.9,45.36701711551606
2023-09-20 00:00:00,OANDA:CADJPY,109.9,109.928,109.883,109.891,44.5355761377157
2023-09-20 00:30:00,OANDA:CADJPY,109.891,109.909,109.874,109.889,44.341098434551256
2023-09-20 01:00:00,OANDA:CADJPY,109.889,109.892,109.828,109.864,41.87927665248304
2023-09-20 01:30:00,OANDA:CADJPY,109.864,109.92,109.864,109.917,48.41767826239764
2023-09-20 02:00:00,OANDA:CADJPY,109.917,109.918,109.874,109.906,47.23010345016805
2023-09-20 02:30:00,OANDA:CADJPY,109.906,109.936,109.874,109.878,44.2545678450707
2023-09-20 03:00:00,OANDA:CADJPY,109.878,109.938,109.846,109.91,48.265995647394526
2023-09-20 03:30:00,OANDA:CADJPY,109.91,109.955,109.87,109.884,45.40695626477669
2023-09-20 04:00:00,OANDA:CADJPY,109.884,109.89,109.83,109.84,40.98267082870171
2023-09-20 04:30:00,OANDA:CADJPY,109.84,109.87,109.813,109.833,40.30975468263151
2023-09-20 05:00:00,OANDA:CADJPY,109.833,109.845,109.805,109.806,37.73600104236175
2023-09-20 05:30:00,OANDA:CADJPY,109.806,109.814,109.766,109.8,37.16806563171798
2023-09-20 06:00:00,OANDA:CADJPY,109.8,109.846,109.797,109.846,44.11267269927463
2023-09-20 06:30:00,OANDA:CADJPY,109.846,109.85,109.814,109.842,43.6607694377634
2023-09-20 07:00:00,OANDA:CADJPY,109.842,109.87,109.824,109.86,46.32546496101227
2023-09-20 07:30:00,OANDA:CADJPY,109.86,109.941,109.857,109.891,50.65419765072847
2023-09-20 08:00:00,OANDA:CADJPY,109.891,109.989,109.829,109.947,57.3462684196348
2023-09-20 08:30:00,OANDA:CADJPY,109.947,109.98,109.934,109.958,58.53579192125312
