datetime,symbol,open,high,low,close,RSI
2023-09-01 17:00:00,OANDA:GBPUSD,1.26202,1.26222,1.2591,1.25916,24.92967831404387
2023-09-01 18:00:00,OANDA:GBPUSD,1.25916,1.25929,1.25774,1.25889,24.473486085426227
2023-09-01 19:00:00,OANDA:GBPUSD,1.25889,1.25992,1.25882,1.25965,28.4428312735235
2023-09-01 20:00:00,OANDA:GBPUSD,1.25965,1.25965,1.25854,1.25933,27.780789963545363
2023-09-01 21:00:00,OANDA:GBPUSD,1.25933,1.25962,1.25848,1.25865,26.375835932357067
2023-09-01 22:00:00,OANDA:GBPUSD,1.25865,1.25916,1.25863,1.25879,27.192228548664964
2023-09-03 23:00:00,OANDA:GBPUSD,1.25879,1.25977,1.25879,1.25918,29.53627150215576
2023-09-04 00:00:00,OANDA:GBPUSD,1.25918,1.2594,1.25878,1.25884,28.66968921839859
2023-09-04 01:00:00,OANDA:GBPUSD,1.25884,1.25924,1.25866,1.25912,30.4786783276608
2023-09-04 02:00:00,OANDA:GBPUSD,1.25912,1.25987,1.25878,1.25958,33.4640781203562
2023-09-04 03:00:00,OANDA:GBPUSD,1.25958,1.26014,1.25888,1.25918,32.170395563639296
2023-09-04 04:00:00,OANDA:GBPUSD,1.25918,1.26058,1.25918,1.26028,39.13841700334301
2023-09-04 05:00:00,OANDA:GBPUSD,1.26028,1.2605,1.25996,1.26034,39.50347667544201
2023-09-04 06:00:00,OANDA:GBPUSD,1.26034,1.26076,1.26002,1.26076,42.12061828270894
2023-09-04 07:00:00,OANDA:GBPUSD,1.26076,1.26138,1.26066,1.26099,43.56055293866348
2023-09-04 08:00:00,OANDA:GBPUSD,1.26099,1.26182,1.26056,1.2616,47.30489774638052
2023-09-04 09:00:00,OANDA:GBPUSD,1.2616,1.26294,1.26114,1.26204,49.8874386595846
2023-09-04 10:00:00,OANDA:GBPUSD,1.26204,1.26338,1.26204,1.26324,56.19312653809488
2023-09-04 11:00:00,OANDA:GBPUSD,1.26324,1.26372,1.26242,1.26298,54.59033007740843
2023-09-04 12:00:00,OANDA:GBPUSD,1.26298,1.26426,1.26289,1.2636,57.689506463706714
2023-09-04 13:00:00,OANDA:GBPUSD,1.2636,1.26385,1.26242,1.2628,52.69229166710136
2023-09-04 14:00:00,OANDA:GBPUSD,1.2628,1.2629,1.26214,1.26256,51.25780300692171
2023-09-04 15:00:00,OANDA:GBPUSD,1.26256,1.26394,1.26256,1.26266,51.846044213354034
2023-09-04 16:00:00,OANDA:GBPUSD,1.26266,1.2627,1.26174,1.26176,46.41665052191193
2023-09-04 17:00:00,OANDA:GBPUSD,1.26176,1.26248,1.2615,1.26244,50.6239474330216
2023-09-04 18:00:00,OANDA:GBPUSD,1.26244,1.26288,1.2621,1.26287,53.13012218999412
2023-09-04 19:00:00,OANDA:GBPUSD,1.26287,1.2633,1.26278,1.26302,54.00710923572615
2023-09-04 20:00:00,OANDA:GBPUSD,1.26302,1.26331,1.26302,1.26324,55.32736192844839
2023-09-04 21:00:00,OANDA:GBPUSD,1.26324,1.26324,1.26284,1.26288,52.66333146153734
2023-09-04 22:00:00,OANDA:GBPUSD,1.26288,1.26319,1.26274,1.26288,52.663331461537325
2023-09-04 23:00:00,OANDA:GBPUSD,1.26288,1.26295,1.26226,1.26288,52.66333146153734
2023-09-05 00:00:00,OANDA:GBPUSD,1.26288,1.26308,1.26278,1.26282,52.14071985966029
2023-09-05 01:00:00,OANDA:GBPUSD,1.26282,1.26288,1.26223,1.26226,47.41163497060848
2023-09-05 02:00:00,OANDA:GBPUSD,1.26226,1.26306,1.2622,1.26299,53.3512659767857
2023-09-05 03:00:00,OANDA:GBPUSD,1.26299,1.26321,1.26173,1.26218,47.00702841617403
2023-09-05 04:00:00,OANDA:GBPUSD,1.26218,1.2622,1.26126,1.2618,44.342975769643715
2023-09-05 05:00:00,OANDA:GBPUSD,1.2618,1.2619,1.26126,1.26178,44.200990565615285
2023-09-05 06:00:00,OANDA:GBPUSD,1.26178,1.26286,1.2617,1.26262,51.259914696751316
2023-09-05 07:00:00,OANDA:GBPUSD,1.26262,1.26284,1.26122,1.26132,42.3340450156004
2023-09-05 08:00:00,OANDA:GBPUSD,1.26132,1.26136,1.25784,1.2584,29.787362760587182
2023-09-05 09:00:00,OANDA:GBPUSD,1.2584,1.25964,1.25606,1.25631,24.24796504397393
2023-09-05 10:00:00,OANDA:GBPUSD,1.25631,1.25652,1.25282,1.25351,19.11841932853338
2023-09-05 11:00:00,OANDA:GBPUSD,1.25351,1.25566,1.25334,1.25516,28.69157357606462
2023-09-05 12:00:00,OANDA:GBPUSD,1.25516,1.25673,1.25502,1.2555,30.516587663597008
2023-09-05 13:00:00,OANDA:GBPUSD,1.2555,1.25575,1.25394,1.25495,29.214063487865058
2023-09-05 14:00:00,OANDA:GBPUSD,1.25495,1.25788,1.25404,1.25758,41.96922437367802
2023-09-05 15:00:00,OANDA:GBPUSD,1.25758,1.25828,1.25582,1.25616,37.98894570748376
2023-09-05 16:00:00,OANDA:GBPUSD,1.25616,1.2569,1.2547,1.25532,35.82453946959582
2023-09-05 17:00:00,OANDA:GBPUSD,1.25532,1.25812,1.25516,1.25808,46.59177390137273
2023-09-05 18:00:00,OANDA:GBPUSD,1.25808,1.2587,1.25714,1.2577,45.46085370485166
2023-09-05 19:00:00,OANDA:GBPUSD,1.2577,1.25804,1.25652,1.25662,42.316999330187016
2023-09-05 20:00:00,OANDA:GBPUSD,1.25662,1.2573,1.25644,1.25654,42.08483187267763
2023-09-05 21:00:00,OANDA:GBPUSD,1.25654,1.25666,1.25586,1.2562,41.0539357816341
2023-09-05 22:00:00,OANDA:GBPUSD,1.2562,1.25659,1.25611,1.25649,42.35106823376571
2023-09-05 23:00:00,OANDA:GBPUSD,1.25649,1.25699,1.25615,1.25692,44.30800776741697
2023-09-06 00:00:00,OANDA:GBPUSD,1.25692,1.25694,1.2566,1.25688,44.15784225394798
2023-09-06 01:00:00,OANDA:GBPUSD,1.25688,1.25729,1.25686,1.25698,44.6627709841871
2023-09-06 02:00:00,OANDA:GBPUSD,1.25698,1.25708,1.25536,1.25574,39.850915624897716
2023-09-06 03:00:00,OANDA:GBPUSD,1.25574,1.25609,1.25496,1.25506,37.46701625042478
2023-09-06 04:00:00,OANDA:GBPUSD,1.25506,1.25729,1.25496,1.25726,48.252455018927314
2023-09-06 05:00:00,OANDA:GBPUSD,1.25726,1.25741,1.25672,1.25712,47.68877213865019
2023-09-06 06:00:00,OANDA:GBPUSD,1.25712,1.25744,1.25676,1.25744,49.15096536839479
